Scientifique,Groupe,Domaine et découvertes,Biographie,Découverte,Nationalité,Genre,Fichier masque,Fichier rue,Fichier video,Protocole,Expérience,Photos experience
Galilée,Daphnée,Galilée reprend l’idée de Copernic : les planètes tournent autour du soleil.,"Bonjour je suis Galilei Galileo
Je suis né au 16e siècle en Italie
J’ai travaillé sur les planète qui tournent autour du soleil",Planètes tournent autour du soleil,,,galileo-galilei-portrait-125361467.jpg,IMG_20230316_104053.jpg,,"Je suis **Galileo Galilée** et je vais vous présenter une expérience sur les planètes.

Nous avons besoin deux tablettes et deux chaise.

Une personne a imite la terre en sasoie sur une chaise et reste imobile et une autre personne c’est asise sur une chaisse roulente et 
 a imite le soleis en tournent autour 
","-TABLETTE
-TOURNE AUTOUR DU SOLEIL
-CHAISE ROULANTE, SOLEIL,",
Joliot Curie,Selwan,"un physicien et chimiste.
Radioactivité",,,,,Joliot-fred.jpg,IMG_20230316_102155.jpg/IMG_20230316_102316,None,,None,
Isaac Newton,Cyril,télescope / loi gravitationnelle / lumière,"Bonjour je suis Isaac Newton
Je suis né au 17e siècle au Royaume-Uni
J’ai travaillé sur la lumière",La lumière,,,portrait-vectoriel-d-aquarelle-isaac-newton-avec-contours-d-encre-mathematicien-anglais-astronome-theologien-auteur-et-physicien-2g6g8c7.jpg,IMG_20230316_103441.jpg,IMG_0084.MOV/IMG_0093.MOV,"Je suis **Isaac Newton** et je vais vous présenter une expérience sur la lumière.

Nous avons besoin d’une roue composée de toutes les couleurs de l’arc en ciel (Disque de Newton),  de deux fils et d’une pile.","Lumière :
tube avec une fente

prisme en vert

disque de Newton 

eau et soleil

Fabrication de toupie",
Lavoisier,Zoé,Conservation de la matière,"Bonjour je suis Antoine Lavoisier 
Je suis né au 18e siècle en France
J’ai travaillé sur la conservation de la matière","Conservation de la matière
",,,Lavoisier.png,IMG_20230316_105252.jpg,None,,,
François Arago,Emelyne,Diamètre des planètes. vitesse du son. vitesse de la lumière.,"Bonjour je suis Francois Arago
Je suis né au18e siècle en France
J’ai travaillé sur le son",Vitesse du son,,,francois-arago-250.jpg,IMG_20230316_105031.jpg,IMG_0056.MOV,"Je suis **François Arago** et je vais vous présenter une expérience sur la vitesse du son.

Nous avons besoin de:
- 2 tablettes
- un décamètre. 

Nous utilisons une application sur la tablette qui enregistre le son et déclenche un chronomètre lorsque nous tapons dans les mains. 

Après avoir réglé la tablette à 80 db, nous tapons une première fois dans les mains puis nous décalons la tablette de 10 m avant de taper une seconde fois dans les mains.

Nous observons alors les résultats.","Téléphones fizziq
Problème distance Orage ou Avion de Chasse",
Johannes Kepler,Abdul / Cyril,"astronomie et copernic 
mouvement des planètes",,,,,1632258127soleil-style-amateur-simple-facile.jpg,,None,,None,
William Herschel,Mélina,Astronomie découvre un rayonnement infrarouge en 1802,,,,,1632258127soleil-style-amateur-simple-facile.jpg,,None,,,
Romer,Emy,Astronomie / vitesse de la lumière,,,,,Romer.png,IMG_20230316_103843.jpg,None,,,
Eddington,Elisabeth,Astrophysicien / Les Grands nombres,,,,,Arthur_Stanley_Eddington.jpg,IMG_20230316_104655.jpg,None,,,
Georges Charpak,Elisabeth,Détecteur de particules à haute énergie,,,,,1632258127soleil-style-amateur-simple-facile.jpg,,None,,,
Mercator,Abdul / Emy,création de globes et de cartes du monde,,,,,1632258127soleil-style-amateur-simple-facile.jpg,,None,,,
D’Alembert,Gino,c’ est un mathématicien/physicien il a gagner un concours de l'académie de berlin en 1746 il a travaillé météorologie scientifique,,,,,1632258127soleil-style-amateur-simple-facile.jpg,IMG_20230316_105810.jpg,None,,,
François Jacob,Emelyne,Biologie / ADN ARN,"Bonjour je suis François Jacob
Je suis né au 20e siècle en France. 
J’ai travaillé sur l’ADN (acide désoxyribonucléique).",ADN,,,jacob_2006.jpg,,None,"Je suis **François Jacob** et je vais vous présenter une expérience sur l' **ADN**.


- Première étape : ajout de quelques gouttes de liquide vaisselle dans un tube à essai contenant de la salive
- Deuxième étape : ajout d’une petite quantité de sel
- Troisième étape : ajout  d’éthanol qui élimine les molécules d’eau entre les molécules d’ADN
- Quatrième étape : La méduse est placée dans un verre de montré après l'avoir récupérée  dans le tube à essais
- Cinquième étape : ajout du vert de méthyle acétique. Rinçage de la méduse dans le l’eau
","-première étape : 
ajout de quelques goût de liquide 
vaisselle dans un tube à essai contenant de la salive .
-deuxième étape :
ajouter d’une petite quantité de sel.TROI Etape :
ajouté d’éthanol qui élimine les molécules d’eau entre les molécules d’ADN .quarte ETAPE 
LA méduse est placée dans un verre de montré après l'avoir récupérée dans le tube a essais.
cinq étape ajoute du vert de méthyle acétique 
rinçage de la méduse dans le l’eau.",
Nicolas Copernic,Vicenco,Terre tourne autour du soleil,,,,,1632258127soleil-style-amateur-simple-facile.jpg,IMG_20230316_104430.jpg,None,,,
Frédérique Curie,Reeyane,Radioactivité artificielle,,,,,1632258127soleil-style-amateur-simple-facile.jpg,IMG_20230316_102347.jpg,None,,,
Irène Curie,Mélina,Chimie / Physique /,,,,,Irène Curie.jfif,,None,,,
Edwar Jenner,Gino,"Création d vaccin et le 14 mai 1796 ,un médecin de campagne vaccine un jeune garçon afin de le protéger contre la variole",,,,,1632258127soleil-style-amateur-simple-facile.jpg,,None,,,
